BSSID,rssi1,rssi2,rssi3,rssi4
68:86:a7:1d:78:71,0,0,-66,0
68:86:a7:1d:78:7e,0,0,-82,0
68:86:a7:1d:78:7e,0,0,-84,0
68:86:a7:1d:78:7e,0,0,-86,0
68:86:a7:31:3a:ae,0,0,-78,-84
68:86:a7:31:3a:ae,0,0,-79,-85
68:86:a7:31:3a:ae,0,0,-80,-86
68:86:a7:31:3a:ae,0,0,-81,-88
68:86:a7:31:3a:ae,0,0,-85,-82
68:86:a7:31:3a:ae,0,0,-86,-85
68:86:a7:57:09:f1,0,0,-74,0
68:86:a7:57:09:f1,0,0,-72,0
68:86:a7:57:ac:be,0,0,-82,0
68:86:a7:57:ac:be,0,0,-84,0
68:86:a7:57:ac:be,0,0,-90,0
9c:93:4e:17:f4:ef,0,0,-81,-69
9c:93:4e:17:f4:ef,0,0,-82,-66
9c:93:4e:17:f4:ef,0,0,-84,-70
9c:93:4e:17:f4:ef,0,0,-86,-74
9c:93:4e:17:f4:ef,0,0,-87,-76
9c:93:4e:17:f4:ef,0,0,-88,-79
9c:93:4e:20:f9:ac,0,0,-87,0
9c:93:4e:20:f9:ac,0,0,-88,0
9c:93:4e:20:fa:4c,0,0,0,-71
9c:93:4e:20:fa:4c,0,0,0,-72
9c:93:4e:20:fa:4c,0,0,0,-73
9c:93:4e:20:fa:4c,0,0,0,-74
9c:93:4e:20:fa:4c,0,0,-81,-85
9c:93:4e:20:fa:4c,0,0,-86,-83
9c:93:4e:20:fa:4c,0,0,-88,-80
a4:00:e2:95:d1:b0,0,0,-60,0
a4:00:e2:95:d1:b0,0,0,-62,0
a4:00:e2:95:d1:b0,0,0,-65,0
a4:00:e2:95:d1:b0,0,0,-65,0
a4:00:e2:95:d1:b0,0,0,-68,0
a4:00:e2:95:d1:b0,0,0,-80,0
ac:07:5f:62:9d:5e,0,0,-65,-61
ac:07:5f:62:9d:5e,0,0,-66,-74
ac:07:5f:62:9d:5e,0,0,-67,-76
ac:07:5f:62:9d:5e,0,0,-68,-77
ac:07:5f:62:9d:5e,0,0,-69,-78
ac:07:5f:62:9d:5e,0,0,-70,-79
ac:07:5f:62:9d:5e,0,0,-72,-80
ac:07:5f:62:9d:5e,0,0,-74,-81
ac:07:5f:62:9d:5e,0,0,-76,-83
ac:07:5f:62:9d:5e,0,0,-78,-82
ac:07:5f:62:9d:5e,0,0,-80,-84
ac:07:5f:62:9d:5e,0,0,-84,-85
cc:64:a6:9d:c2:00,0,0,-85,0
cc:64:a6:9d:c2:00,0,0,-83,0
d0:c6:5b:75:38:e0,0,0,-64,0
d0:c6:5b:75:38:e0,0,0,-62,0
d0:c6:5b:75:38:e0,0,0,-60,0
f4:79:60:32:d3:80,0,0,-70,0
f8:35:dd:22:c4:6e,0,0,-77,0
f8:35:dd:22:c4:6e,0,0,-78,0
f8:35:dd:22:c4:6e,0,0,-75,0
20:10:7a:aa:82:3b,0,0,0,-75
20:10:7a:aa:82:3b,0,0,0,-76
20:10:7a:aa:82:3b,0,0,0,-74
20:10:7a:aa:82:3b,0,0,0,-73
2a:56:5a:a6:6c:cf,0,0,0,-72
2a:56:5a:a6:6c:cf,0,0,0,-74
2a:56:5a:a6:6c:cf,0,0,0,-73
2a:56:5a:a6:6c:cf,0,0,0,-73
68:86:a7:30:f6:4e,0,0,0,-62
68:86:a7:57:0d:71,0,0,0,-68
68:86:a7:57:0d:71,0,0,0,-66
